bond_code,bond_name,putback_start,putback_end,convert_start,convert_end,value_date,expire_date,bond_period,hist_adj_count
110090,爱迪转债,2026-09-23,2028-09-22,2023-03-29,2028-09-22,2022-09-23,2028-09-23,6,0
110091,合力转债,2026-12-13,2024-07-03,2023-06-19,2024-07-03,2022-12-13,2024-07-04,1.5589,0
110092,三房转债,2027-01-06,2029-01-05,2023-07-12,2029-01-05,2023-01-06,2029-01-06,6,0
110093,神马转债,2027-03-16,2029-03-15,2023-09-22,2029-03-15,2023-03-16,2029-03-16,6,0
110094,众和转债,2027-07-18,2026-03-11,2024-01-24,2026-03-11,2023-07-18,2026-03-12,2.6521,1
110095,双良转债,2027-08-08,2029-08-07,2024-02-19,2029-08-07,2023-08-08,2029-08-08,6,2
110096,豫光转债,2028-08-12,2025-12-18,2025-02-17,2025-12-18,2024-08-12,2025-12-19,1.3534,0
110097,天润转债,2028-10-24,2030-10-23,2025-04-30,2030-10-23,2024-10-24,2030-10-24,6,0
110098,南药转债,2028-12-25,2030-12-24,2025-07-01,2030-12-24,2024-12-25,2030-12-25,6,0
110099,福能转债,2029-10-13,2031-10-12,2026-04-17,2031-10-12,2025-10-13,2031-10-13,6,0
110100,龙建转债,2030-01-22,2032-01-21,2026-07-28,2032-01-21,2026-01-22,2032-01-22,6,0
110219,南山转债,2005-04-19,2006-08-10,2005-04-19,2006-08-10,2004-10-19,2006-08-11,1.811,1
110227,赤化转债,2008-04-10,2009-05-24,2008-04-10,2009-05-22,2007-10-10,2009-05-25,1.6192,1
110232,金鹰转债,2007-05-21,2009-05-11,2007-05-21,2009-05-11,2006-11-20,2009-05-12,2.474,1
110317,营港转债,2004-11-20,2007-03-25,2004-11-22,2007-03-23,2004-05-20,2007-03-26,2.8493,0
110325,华发转债,2007-01-29,2007-04-02,2007-01-29,2007-04-02,2006-07-27,2007-04-03,0.6849,0
110368,五洲转债,2008-09-01,2009-07-01,2008-09-01,2009-07-01,2008-02-29,2009-07-02,1.3397,1
110398,凯诺转债,2008-08-15,2007-10-15,2007-02-15,2007-10-15,2006-08-15,2007-10-16,1.1699,0
110418,江淮转债,2007-04-15,2006-07-09,2004-10-15,2006-07-10,2004-04-15,2006-07-10,2.2356,2
110423,柳化转债,2007-01-29,2007-04-02,2007-01-29,2007-04-02,2006-07-28,2007-04-03,0.6822,0
110488,天药转债,2009-10-25,2007-06-21,2007-04-25,2007-06-21,2006-10-25,2007-06-22,0.6575,0
110567,山鹰转债,2009-09-05,2010-01-31,2008-03-05,2010-01-29,2007-09-05,2010-02-01,2.4055,1
110598,大荒转债,2008-06-19,2010-03-07,2008-06-19,2010-03-05,2007-12-19,2010-03-08,2.2164,1
110800,赛腾定转,,2021-05-23,2020-12-24,2022-12-23,2019-12-24,2021-05-24,1.4164,2
110801,继峰定01,2022-11-18,2025-11-03,2021-02-05,2025-11-04,2019-11-18,2025-11-04,5.9671,0
110802,继峰定02,2019-11-18,2022-01-11,2020-12-24,2022-01-12,2019-11-18,2022-01-12,2.1534,0
110803,国泰定01,2020-02-28,2022-09-19,2022-06-10,2022-09-20,2020-02-28,2022-09-20,2.5616,0
110804,国泰定02,2023-08-31,2022-02-27,2021-03-01,2022-02-28,2020-08-31,2022-02-28,1.4959,0
110805,中闽定01,2023-03-31,2021-09-26,2021-03-31,2021-09-27,2020-03-31,2021-09-27,1.4932,0
110806,中闽定02,2022-07-22,2021-09-21,2021-07-22,2021-09-22,2020-07-22,2021-09-22,1.1699,0
110807,动力定01,2023-05-13,2024-11-28,2021-05-13,2024-11-29,2020-05-13,2024-11-29,4.5507,0
110808,动力定02,2023-09-09,2026-03-09,2021-03-09,2026-03-10,2020-09-09,2026-03-10,5.5014,0
110809,天业定01,2024-05-12,2021-08-19,2021-05-18,2026-05-11,2020-05-12,2021-08-20,1.274,0
110810,天业定02,2024-12-29,2022-01-05,2021-06-29,2026-12-28,2020-12-29,2022-01-06,1.0192,0
110811,神马定01,2024-09-22,2022-06-23,2021-09-22,2022-06-29,2020-09-22,2022-06-24,1.7534,0
110812,神马定02,2025-03-24,2021-12-23,2021-09-24,2021-12-24,2021-03-24,2021-12-24,0.7534,0
110813,海正定转,2022-03-18,2024-05-21,2021-09-22,2024-05-22,2021-03-18,2024-05-22,3.1808,0
110814,华电定转,,2023-05-30,2022-09-28,2023-05-31,2021-09-28,2023-05-31,1.6712,0
110815,九丰定01,2026-02-22,2028-12-28,2023-06-29,2028-12-28,2022-12-29,2028-12-29,6,0
110816,九丰定02,2024-10-17,2029-03-09,2024-10-17,2029-03-09,2023-03-10,2029-03-10,6,0
110817,保利定转,2030-05-15,2031-05-14,2025-11-21,2031-05-15,2025-05-15,2031-05-15,6,0
110818,华发定转,2030-09-22,2031-09-21,2026-03-26,2031-09-21,2025-09-22,2031-09-22,6,0
110874,创业转债,2005-07-01,2007-08-27,2005-07-01,2007-08-27,2004-07-01,2007-08-28,3.1589,3
110971,恒源转债,2008-03-24,2009-12-20,2008-03-24,2009-12-18,2007-09-24,2009-12-21,2.2484,2
111000,起帆转债,2025-05-24,2027-05-23,2021-11-29,2027-05-23,2021-05-24,2027-05-24,6,1
111001,山玻转债,2025-11-08,2027-11-07,2022-05-12,2027-11-07,2021-11-08,2027-11-08,6,0
111002,特纸转债,2025-12-08,2027-12-07,2022-06-14,2027-12-07,2021-12-08,2027-12-08,6,1
111003,聚合转债,2026-03-07,2028-03-06,2022-09-13,2028-03-06,2022-03-07,2028-03-07,6,1
111004,明新转债,2026-03-30,2028-03-29,2022-10-10,2028-03-29,2022-03-30,2028-03-30,6,0
111005,富春转债,2026-06-23,2028-06-22,2022-12-29,2028-06-22,2022-06-23,2028-06-23,6,1
111006,嵘泰转债,2026-08-11,2023-05-09,2023-02-17,2023-05-09,2022-08-11,2023-05-10,0.7452,1
111007,永和转债,2026-10-11,2025-10-09,2023-04-17,2025-10-09,2022-10-11,2025-10-10,3,1
111008,沿浦转债,2026-11-02,2025-04-02,2023-05-08,2025-04-02,2022-11-02,2025-04-03,2.4192,0
111009,盛泰转债,2026-11-07,2028-11-06,2023-05-11,2028-11-06,2022-11-07,2028-11-07,6,0
111010,立昂转债,2026-11-14,2028-11-13,2023-05-18,2028-11-13,2022-11-14,2028-11-14,6,1
111011,冠盛转债,2027-01-03,2025-07-28,2023-07-10,2025-07-28,2023-01-03,2025-07-29,2.5699,0
