bond_code,bond_name,stock_code,issue_size,rating,maturity_date,convert_price,original_price,listing_date,delist_date,redeem_pct,redeem_days,redeem_window,putback_pct,putback_days,putback_window,revise_pct,revise_days,revise_window,bond_price,convert_value,premium_rate,ytm,remaining_size,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
123070,鹏辉转债,300438,8.9,AA,2022-07-29,20.16,20.16,2020-11-06,2022-08-08,130.0,20.0,30.0,70.0,30.0,30.0,80.0,20.0,30.0,,296.429,,,8.9,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123069,金诺转债,300505,3.68,AA-,2021-11-08,19.15,19.15,2020-11-05,2021-11-16,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,159.321,,,3.68,120.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
127022,恒逸转债,000703,20.0,AA+,2026-03-25,9.14,11.5,2020-11-16,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,132.823,,,20.0,,0.2,0.4,0.6,1.2,1.5,2.0,,,,
110075,南航转债,600029,160.0,AAA,2026-10-15,6.17,6.24,2020-11-03,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,119.647,91.086,31.3561,-19.6736,160.0,106.5,0.2,0.4,0.6,0.8,1.5,2.0,,,,
123068,弘信转债,300657,5.7,AA-,2021-10-12,18.45,18.45,2020-11-04,2021-10-20,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,157.995,,,5.7,115.0,0.4,0.8,1.0,1.5,2.5,3.0,,,,
113604,多伦转债,603528,6.4,AA-,2023-12-26,10.44,10.44,2020-11-17,2023-12-26,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,,77.49,,,6.4,,0.4,0.6,1.0,1.5,1.8,2.0,,,,
128134,鸿路转债,002541,18.8,AA,2026-10-09,21.99,43.74,2020-11-02,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,125.5,92.451,35.7476,-22.7831,18.8,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113603,东缆转债,603606,8.0,AA,2021-11-30,23.88,23.88,2020-10-29,2021-11-30,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,263.023,,,8.0,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
128133,奇正转债,002287,8.0,AA,2025-09-03,30.12,30.12,2020-10-27,2025-09-11,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,,74.336,,,8.0,112.0,0.4,0.6,1.0,1.5,1.8,2.5,,,,
123067,斯莱转债,300382,3.88,AA-,2025-03-21,9.38,9.38,2020-10-15,2025-03-31,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,117.377,,,3.88,115.0,0.4,0.8,1.0,1.5,2.5,3.0,,,,
123066,赛意转债,300687,3.2,A+,2021-08-16,22.58,22.58,2020-10-15,2021-08-24,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,82.241,,,3.2,115.0,0.4,0.7,1.0,1.8,2.5,3.5,,,,
128132,交建转债,002941,8.5,AA,2025-09-23,18.57,18.57,2020-10-16,2025-10-10,130.0,15.0,30.0,70.0,30.0,30.0,85.0,10.0,30.0,,78.783,,,8.5,,0.4,0.6,1.0,1.5,1.8,2.0,,,,
128131,崇达转2,002815,14.0,AA,2025-09-17,19.54,19.54,2020-09-28,2025-09-26,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,71.494,,,14.0,110.0,0.3,0.6,1.0,1.5,1.8,2.0,,,,
123065,宝莱转债,300246,2.19,AA-,2026-09-04,23.8,40.54,2020-09-24,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,123.723,55.042,124.7793,-15.7986,2.19,115.0,0.4,0.7,1.0,1.8,2.5,3.5,,,,
123064,万孚转债,300482,6.0,AA,2026-09-01,21.1,93.55,2020-09-23,,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,118.98,88.389,34.6095,-17.2295,6.0,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
128130,景兴转债,002067,12.8,AA,2025-10-23,3.4,3.4,2020-09-18,2025-10-31,130.0,15.0,30.0,80.0,30.0,30.0,80.0,15.0,30.0,,153.235,,,12.8,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
128129,青农转债,002958,50.0,AAA,2026-08-25,4.0,5.74,2020-09-18,,130.0,15.0,30.0,70.0,30,30,80.0,15.0,30.0,107.818,75.25,43.2797,0.403,50.0,108.0,0.2,0.4,0.8,1.2,1.6,2.0,,,,
113039,嘉泽转债,601619,13.0,AA,2026-08-24,2.91,3.57,2020-09-17,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,214.319,197.938,8.2758,-119.2057,13.0,108.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113602,景20转债,603228,17.8,AA,2024-08-13,35.28,35.28,2020-09-22,2024-08-13,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,160.261,,,17.8,108.0,0.4,0.6,1.0,1.5,1.8,2.0,,,,
113601,塞力转债,603716,5.4331,BB+,2026-04-10,12.0,16.98,2020-09-15,2026-04-10,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,173.942,176.083,-1.2159,,5.4331,115.0,0.5,0.8,1.0,1.5,2.5,3.0,,,,
128128,齐翔转2,002408,29.9,AA,2026-08-20,5.37,8.22,2020-09-15,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,130.553,106.331,22.7798,-38.8523,29.9,110.0,0.3,0.6,1.0,1.5,1.9,2.0,,,,
128127,文科转债,002775,9.5,A-,2026-08-20,4.42,5.76,2020-09-11,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,117.192,93.439,25.4209,-4.6161,9.5,115.0,0.5,0.8,1.0,1.5,2.5,3.5,,,,
110074,精达转债,600577,7.87,AA,2026-08-19,3.32,3.8,2020-09-21,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,414.695,354.518,16.9743,-181.3633,7.87,112.0,0.4,0.6,1.0,1.5,1.8,2.0,,,,
404004,汇车退债,400245,33.7,A,2026-08-18,0.1,4.03,2024-11-01,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,,,,,33.7,110.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
110072,广汇转债,600297,33.7,AA-,2026-08-18,4.03,4.03,2020-09-15,2024-08-28,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,,,,,33.7,110.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
113600,新星转债,603978,5.95,A-,2024-11-21,23.85,23.85,2020-09-11,2024-11-21,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,95.723,,,5.95,120.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
127021,特发转2,000070,5.5,AA,2023-05-11,12.33,12.33,2020-09-04,2023-05-19,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,,116.951,,,5.5,110.0,0.3,0.5,1.0,1.5,1.8,,,,,
128126,赣锋转2,002460,21.08,AA,2021-05-12,61.15,61.15,2020-09-08,2021-05-19,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,113.181,,,21.08,107.0,0.3,0.5,0.8,1.0,1.5,1.8,,,,
113599,嘉友转债,603871,7.2,AA-,2022-07-26,24.82,24.82,2020-09-07,2022-07-26,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,59.106,,,7.2,120.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
113598,法兰转债,603966,3.3,AA-,2025-06-20,13.88,13.88,2020-08-25,2025-06-20,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,82.205,,,3.3,115.0,0.4,0.8,1.0,1.5,2.5,3.0,,,,
113038,隆20转债,601012,50.0,AAA,2021-03-31,52.77,52.77,2020-09-08,2021-03-31,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,36.081,,,50.0,107.0,0.3,0.4,0.8,1.5,1.8,2.0,,,,
128125,华阳转债,002949,4.5,AA-,2026-07-30,14.39,25.79,2020-08-21,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,121.857,94.232,29.3159,-20.9037,4.5,113.0,0.4,0.6,1.0,1.5,2.0,3.0,,,,
