股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
002660,茂硕电源,9.53,33.99,32.69,-44.01,,-14.76,9.15,-13.88,23.66,96.21,11.98,7.07,69.45,35,11,5,4,7.1,3.86
002649,博彦科技,15.08,88.27,82.72,36.15,2.44,18.46,19.93,-12.23,19.99,89.52,16.83,9.83,71.21,23,12,5,4,5.43,2.91
688152,麒麟信安,45.48,46.77,46.77,-190.37,,4.99,20.17,-10.27,25.87,82.52,67.65,36.33,86.21,29,15,5,4,4.28,2.44
300231,银信科技,11.26,50.03,50.02,71.22,0.7,-2.26,11.23,-10.75,19.18,79.55,15.18,8.27,83.56,25,7,5,4,4.05,2.76
600425,青松建化,4.32,69.32,59.56,16.61,4.17,19.67,14.06,-11.27,13.06,72.45,5.09,3.48,46.26,34,13,5,4,8.34,3.37
003026,中晶科技,31.45,40.77,30.1,89.75,0.45,3.42,17.2,-9.79,17.59,67.44,40.0,22.83,75.21,30,17,5,4,3.59,2.55
002666,德联集团,5.44,42.87,27.24,40.17,1.07,15.99,11.38,-12.5,18.07,63.73,6.03,3.61,67.04,32,12,5,4,7.16,3.21
300079,数码视讯,5.9,84.14,75.61,256.29,0.33,8.46,12.56,-11.36,15.24,45.11,6.65,4.21,57.96,29,9,5,4,4.4,2.9
002100,天康生物,7.14,97.48,97.48,17.76,5.49,17.63,12.05,-6.42,11.17,44.69,8.24,5.78,42.56,30,14,5,4,4.42,3.02
301188,力诺药包,18.61,44.49,44.49,65.58,0.68,17.78,10.15,-22.05,11.91,42.34,25.77,14.22,81.22,22,16,5,4,4.85,2.53
301381,赛维时代,22.94,92.55,44.84,33.1,2.8,1.33,7.31,-12.76,12.79,40.77,26.38,16.24,62.44,29,17,5,4,4.35,2.7
