股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
600798,宁波海运,3.71,44.76,44.76,-106.42,,28.82,51.19,-14.8,23.36,104.29,5.4,2.57,110.12,29,27,9,12,6.44,3.25
605016,百龙创园,20.66,86.77,86.77,24.59,3.53,62.29,20.94,-11.04,8.12,18.92,23.58,11.35,107.75,33,9,3,2,3.92,2.76
300835,龙磁科技,67.0,79.9,55.13,44.95,1.78,75.3,20.7,-10.52,34.03,96.87,74.0,29.95,147.08,31,12,9,2,4.26,2.88
002782,可立克,19.46,96.51,94.67,31.16,3.1,48.21,22.7,-13.35,12.4,57.71,23.49,9.66,143.17,27,15,8,5,5.67,3.04
300483,首华燃气,15.75,45.72,45.7,-2118.01,,90.22,35.12,-24.24,25.2,100.48,18.96,6.68,183.83,27,18,10,6,7.65,3.37
002141,贤丰控股,3.77,38.94,38.42,69.07,0.56,143.23,21.87,-16.6,13.6,52.91,5.65,1.34,321.64,25,18,6,8,3.6,2.65
301456,盘古智能,31.93,48.04,19.32,59.43,0.81,40.54,15.41,-13.14,24.96,99.13,37.99,18.51,105.24,31,17,5,3,5.24,3.19
605100,华丰股份,47.87,81.73,81.35,480.07,0.17,259.92,62.15,-16.66,24.84,129.69,49.89,11.93,318.19,21,22,12,4,4.87,2.8
002109,兴化股份,3.89,49.65,49.65,-8.79,,24.68,13.75,-14.05,8.3,47.37,4.64,2.64,75.76,29,16,10,13,8.68,3.87
300881,盛德鑫泰,36.25,39.88,20.81,19.72,2.02,22.01,22.4,-14.92,23.81,89.22,45.84,23.64,93.91,31,18,10,8,5.33,2.87
002551,尚荣医疗,3.92,33.14,23.96,-70.77,,34.25,18.97,-14.83,21.5,114.49,5.49,2.56,114.45,27,19,7,7,6.65,3.49
002727,一心堂,13.57,79.47,53.92,22.19,3.58,15.2,39.35,-11.5,15.16,72.9,19.1,11.24,69.93,31,17,7,7,5.78,3.19
603229,奥翔药业,10.33,85.77,85.77,31.07,2.76,24.01,29.04,-13.48,7.82,45.34,12.51,6.84,82.89,29,13,6,6,5.06,3.44
301135,瑞德智能,29.45,30.02,22.52,96.35,0.31,26.56,19.18,-13.86,28.36,95.79,34.22,17.52,95.32,25,17,6,9,7.17,3.3
920819,颖泰生物,4.05,49.64,48.9,-386.78,,28.98,11.05,-11.55,5.97,21.67,5.09,3.03,67.99,29,20,4,8,3.51,2.55
300813,泰林生物,26.89,32.59,20.45,166.02,0.2,54.01,20.71,-13.28,17.36,54.87,42.15,13.93,202.58,27,16,4,4,3.17,2.51
688211,中科微至,32.22,42.4,42.4,-17.7,,12.97,13.42,-7.47,2.69,17.44,36.97,24.61,50.22,23,11,7,4,6.0,3.3
603811,诚意药业,11.51,37.67,37.67,19.8,1.9,51.05,35.81,-8.44,16.28,98.66,16.97,6.97,143.47,27,19,5,2,5.41,3.11
002721,金一文化,3.29,87.49,87.49,-173.51,,33.74,19.29,-16.0,14.17,119.22,5.23,2.26,131.42,25,17,6,5,4.45,2.84
300781,因赛集团,47.68,78.28,57.77,214.42,0.37,14.45,18.37,-12.88,30.71,113.36,55.0,25.58,115.01,27,23,10,8,5.05,3.04
300534,陇神戎发,9.94,30.15,30.02,83.67,0.36,22.56,9.03,-11.15,24.54,92.38,12.88,7.62,69.03,19,17,7,8,4.83,2.75
300513,恒实科技,10.88,34.13,31.36,-29.74,,26.66,27.81,-10.83,19.12,76.44,11.29,6.39,76.68,29,12,5,6,6.79,3.4
603334,丰倍生物,50.29,72.17,15.62,46.14,1.56,-7.59,17.37,-11.25,64.56,179.22,76.0,41.31,83.97,3,5,6,3,4.16,2.88
603258,电魂网络,20.31,49.54,49.02,-121.75,,-4.78,12.05,-15.24,11.94,52.96,28.61,17.02,68.1,31,15,5,7,5.25,2.94
001207,联科科技,24.69,53.46,48.7,17.41,3.07,22.05,15.07,-7.88,10.22,26.51,27.81,16.51,68.44,31,13,5,5,5.38,3.13
300702,天宇股份,26.08,90.75,55.07,30.81,2.95,51.63,11.11,-13.45,9.85,34.03,31.2,15.48,101.55,27,11,5,5,5.46,3.15
600261,阳光照明,3.52,46.99,46.99,27.38,1.72,13.92,10.36,-13.31,7.5,35.57,4.04,2.54,59.06,35,9,4,4,4.86,2.77
002350,北京科锐,8.87,48.1,47.06,124.45,0.39,46.85,18.13,-14.32,13.63,47.67,9.75,5.11,90.8,26,16,7,7,3.98,2.72
300841,康华生物,76.0,98.76,90.39,39.17,2.52,50.38,15.44,-16.83,14.33,48.87,94.3,48.5,94.43,32,11,5,0,3.73,2.62
600807,济高发展,3.57,31.58,28.1,-28.87,,39.45,12.66,-15.97,18.73,52.44,4.0,2.2,81.82,27,18,5,9,5.34,2.92
603600,永艺股份,11.63,38.43,34.89,15.05,2.55,-4.28,6.32,-11.91,11.21,39.57,14.31,7.8,83.46,29,14,4,6,4.88,2.81
603681,永冠新材,20.25,38.7,38.7,26.01,1.49,54.46,14.34,-14.12,16.17,96.14,21.5,10.49,104.96,29,20,6,8,5.09,3.03
